Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,14,68.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,15,64.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,16,60.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,17,63.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,18,62.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,19,68.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,20,80.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,21,84,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,22,84.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/18/2015,2015,12,18,23,75.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,0,71,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,1,71.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,2,84,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,3,113,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,4,112.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,5,105,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,6,105,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,7,105,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,8,104.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,9,100.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,10,99.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,11,92.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,12,77.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,13,64.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,14,62,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,15,61.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/19/2015,2015,12,19,16,58.3,UG/M3,1 Hr,Valid
